#{"t_start": 1749043248.6897776, "env_id": "Pendulum-v1"}
r,l,t
-121.806138,200,333.878212
-1.613046,200,334.240004
-127.900008,200,334.471205
-367.527756,200,334.721368
-244.924894,200,336.682214
-253.929254,200,336.894165
-127.156908,200,337.11115
-247.098099,200,337.34042
-413.296345,200,337.5593
-397.399175,200,337.777754
-127.133435,200,337.995945
-122.462978,200,338.23256
-2.362735,200,338.442189
-255.806739,200,338.658766
-0.507505,200,338.870188
-127.354063,200,340.914209
-120.835741,200,341.217027
-537.324916,200,341.476424
-237.687137,200,341.702188
-0.450521,200,341.917598
-267.585255,200,342.135724
-126.988728,200,342.361006
-121.690296,200,342.579946
-128.843369,200,342.792386
-388.380558,200,343.014418
-0.819803,200,344.953725
-125.472156,200,345.174005
-475.157369,200,345.389534
-126.187476,200,345.636346
-122.19783,200,345.846643
-3.196247,200,346.063648
-250.489414,200,346.290544
-119.378935,200,346.511164
-239.271983,200,346.722553
-128.927782,200,346.94301
-255.640616,200,348.869114
-251.06473,200,349.083693
-243.086842,200,349.321946
-256.544355,200,349.537386
-128.222143,200,349.770877
-126.36061,200,349.987664
-354.504975,200,350.216727
-238.371333,200,350.447612
-121.066665,200,350.682967
-253.820183,200,350.903594
-255.777725,200,352.805829
-239.048971,200,353.023293
-232.155044,200,353.255622
-245.96814,200,353.475986
-237.142634,200,353.700065
-254.424844,200,353.912912
-119.404607,200,354.134543
-254.901038,200,354.359091
-128.393217,200,354.594349
-122.734274,200,354.811025
-1.559815,200,355.022232
-1.287618,200,356.993415
-125.689961,200,357.219253
-260.74494,200,357.439685
-115.662197,200,357.658158
-255.959115,200,357.874448
-254.174781,200,358.087167
-1.058595,200,358.318333
-414.529159,200,358.532864
-379.236719,200,358.747596
-126.505621,200,358.962143
-125.792557,200,360.944741
-122.374027,200,361.169396
-0.759085,200,361.391922
-244.207755,200,361.611307
-126.1362,200,361.826848
-257.740762,200,362.038051
-261.094149,200,362.268838
-127.647909,200,362.485453
-122.212271,200,362.706625
-129.780941,200,362.927212
-119.756335,200,364.85069
-0.605442,200,365.065599
-256.297528,200,365.296154
-241.130526,200,365.537427
-251.11648,200,365.765201
-117.799184,200,365.99112
-267.114653,200,366.222206
-122.061648,200,366.432963
-266.562276,200,366.645786
-357.977912,200,366.855823
-938.073896,200,368.730808
-253.568315,200,368.940055
-127.953386,200,370.149394
-390.187061,200,370.368981
-3.841796,200,370.596194
-115.706014,200,370.808924
-790.321633,200,371.025889
-1.908094,200,371.266644
-125.231214,200,371.566792
-127.062402,200,371.934484
-121.505372,200,374.220077
-1.537039,200,374.452885
-242.977019,200,374.664041
-233.099049,200,374.881692
-131.030811,200,375.193715
-905.499674,200,375.439851
-130.084431,200,375.729026
-123.886753,200,375.995921
-365.13518,200,376.241266
-126.215247,200,376.476944
-243.918676,200,376.700198
-118.632025,200,378.72614
-855.736124,200,378.937223
-126.573123,200,379.168198
-123.962127,200,379.384925
-117.42005,200,379.604216
-831.878596,200,379.819709
-809.647063,200,380.032155
-790.272871,200,380.260272
-122.259879,200,380.473226
-124.880415,200,380.696831
-357.790682,200,382.613956
-1017.006679,200,382.832747
-120.030944,200,383.045916
-1009.618661,200,383.272526
-518.072645,200,383.49401
-123.654842,200,383.703735
-253.935579,200,383.914001
-125.899155,200,384.141642
-126.552885,200,384.366593
-519.741559,200,384.579585
-1.373045,200,386.552836
-123.826431,200,386.768786
-128.217974,200,386.985137
-237.19351,200,387.220795
-131.051173,200,387.433838
-122.402443,200,387.650491
-1.326426,200,387.862432
-3.70137,200,388.077978
-122.288038,200,388.311141
-128.347448,200,388.519454
-124.166228,200,390.425095
-0.379102,200,390.661579
-117.08615,200,390.876752
-0.655456,200,391.088387
-250.072673,200,391.315208
-117.994293,200,391.533307
-0.744883,200,391.828996
-127.861443,200,392.042762
-123.143019,200,392.275254
-124.899929,200,392.485439
-331.209837,200,392.702157
-2.220002,200,394.920701
-1062.463851,200,395.148344
-251.133011,200,395.374739
-258.107823,200,395.609195
-127.595473,200,395.821943
-118.170422,200,396.0392
-129.806166,200,396.26845
-232.299327,200,396.4798
-128.421211,200,396.703335
-778.980539,200,396.911453
-792.145362,200,398.856479
-1.901927,200,399.078175
-937.514101,200,399.310886
-972.068133,200,399.527759
-281.529674,200,399.738684
-0.857675,200,399.950994
-1.287758,200,400.186348
-1063.00273,200,400.42458
-125.927997,200,400.652991
-1.547194,200,400.866775
-124.742707,200,402.791768
-4.313579,200,403.007061
-1061.386388,200,403.238851
-248.34756,200,403.452218
-2.465046,200,403.662739
-391.362115,200,403.878155
-1067.861644,200,404.089159
-1.510248,200,404.324181
-127.068535,200,404.534632
-933.905005,200,404.746518
-1026.985762,200,406.708886
-127.277583,200,406.926297
-117.684587,200,407.151567
-268.608907,200,407.379738
-1041.935969,200,407.599786
-128.371592,200,407.812139
-0.936678,200,408.033486
-123.642477,200,408.264102
-1058.876301,200,408.469893
-1000.117564,200,408.686548
-121.689019,200,409.887324
-0.736398,200,411.925267
-247.462905,200,412.138074
-248.862181,200,412.369233
-239.455961,200,412.587604
-228.262564,200,412.801718
-238.377654,200,413.017898
-233.637915,200,413.270481
-0.654048,200,413.521967
-247.234554,200,413.744987
-246.485973,200,413.958254
-355.101321,200,416.014215
-0.781829,200,416.250626
-1028.164894,200,416.470013
-253.037247,200,416.692741
-1001.977825,200,416.904105
-261.05639,200,417.112035
-1.286998,200,417.352221
-122.882683,200,417.565935
-2.135989,200,417.778344
-417.973367,200,417.990219
-1051.048773,200,419.915757
-235.585551,200,420.141711
-115.86316,200,420.366463
-249.283234,200,420.601842
-761.861703,200,420.822307
-0.537682,200,421.037343
-3.701074,200,421.265501
-120.231234,200,421.478754
-123.485891,200,421.701378
-245.85715,200,421.9191
-123.59499,200,423.86091
-966.589906,200,424.080265
-236.652829,200,424.3056
-1.540329,200,424.526061
-3.324671,200,424.743675
-118.082862,200,424.962759
-241.833506,200,425.193966
-271.835939,200,425.41238
-127.698242,200,425.649108
-313.195723,200,425.880119
-117.355926,200,426.085232
-115.496118,200,427.994447
-122.401785,200,428.231035
-128.261941,200,428.451495
-120.741997,200,428.687339
-253.282731,200,428.900281
-127.224265,200,429.111435
-119.41995,200,429.341498
-878.424806,200,429.569356
-116.757609,200,429.789165
-119.404303,200,430.00375
-247.370748,200,432.059923
-252.636066,200,432.287092
-123.359635,200,432.518531
-238.908155,200,432.743074
-371.409563,200,432.965271
-127.943379,200,433.211604
-247.743557,200,433.444947
-125.531551,200,433.702476
-252.416724,200,433.919059
-254.388309,200,434.145936
-244.547627,200,436.354113
-128.410135,200,436.647515
-129.283869,200,436.867763
-248.075606,200,437.145884
-781.203844,200,437.439172
-237.996775,200,437.740613
-120.203192,200,438.022757
-120.580196,200,438.302301
-270.30972,200,438.565234
-315.804564,200,438.800867
-123.782916,200,441.019099
-247.831033,200,441.285978
-118.219533,200,441.519686
-122.953716,200,441.735933
-131.714713,200,442.043982
-0.642685,200,442.277193
-259.389815,200,442.491112
-119.945801,200,442.716955
-128.441209,200,442.934977
-245.017345,200,443.169014
-126.365097,200,443.395181
-247.908843,200,445.337634
-122.873677,200,445.613009
-2.78071,200,445.903176
-117.807633,200,446.133626
-132.188412,200,446.355925
-126.60983,200,446.580328
-256.404099,200,446.799389
-790.700325,200,447.018791
-242.643068,200,447.252167
-1.927061,200,447.466114
-118.03314,200,449.398015
-230.124121,200,449.608861
-276.565266,200,449.840798
